Type,a,b,Start Angle,End Angle,Rotation,Center
Elliptical Arc,110.97311676451918,75.33396281615538,1.5052859312896723,4.0334912556749085,2.888881777375203,"(188, 86)"
Elliptical Arc,34.982020168148914,25.915838807412623,1.240111281495985,2.9490331410694277,2.292833039022069,"(104, 787)"
Elliptical Arc,261.76475610954213,227.99719010322855,3.808360772962247,4.840312247597296,1.8867004676688368,"(69, 436)"
Elliptical Arc,219.6158016915074,136.78866514096066,1.461478874269469,2.489364437299878,0.8410383626008235,"(568, 111)"
Elliptical Arc,60.045097546647185,53.274750195832596,2.934580067283121,6.681245260233336,2.627030819276095,"(662, 508)"
Elliptical Arc,74.71298683334373,61.418170632048025,4.072138119143431,7.1937717267608,0.44843437951925436,"(87, 248)"
Elliptical Arc,180.48423932453593,156.98600801734204,5.544333467984252,6.797233146711312,0.9515997856151882,"(553, 624)"
Elliptical Arc,84.69375747572032,59.328071150037395,5.631061288315572,9.564677796530518,1.4203733365988742,"(277, 705)"
Elliptical Arc,188.8939284331903,124.3065038010523,2.154271129483569,4.062255449413235,0.17806461137010088,"(630, 660)"
Elliptical Arc,33.19164659612091,29.025494802401763,2.3685418385447776,6.215807552874747,2.3501689227536824,"(228, 62)"
Elliptical Arc,131.990285540639,86.66445297033518,2.5799419073219214,5.265402112390532,2.1881582780628275,"(595, 425)"
Elliptical Arc,37.622489925141615,33.415689728737846,4.664796413302063,8.536119960458961,2.903516922116605,"(266, 681)"
Elliptical Arc,176.3283612033878,132.7128540483958,4.679945814757712,5.960316722180641,1.3234175709660845,"(432, 389)"
Elliptical Arc,27.463900213240787,24.49984547385908,0.3107190852455023,5.548452047169021,0.5651604638751645,"(116, 626)"
Elliptical Arc,209.637725395962,175.28889265367496,3.401524962558211,4.690600161569316,3.0155385085397763,"(336, 392)"
